job_id,arrival_time,processing_time,due_date,priority
J038,1,6,38,2
J004,2,3,18,1
J040,5,5,49,1
J028,7,7,32,2
J027,8,18,39,1
J017,10,14,54,1
J014,12,5,27,1
J036,12,7,50,1
J009,13,13,40,1
J005,14,3,60,1
J021,14,4,46,2
J002,15,10,41,1
J019,15,8,60,2
J025,15,11,71,2
J039,15,4,42,3
J034,16,8,64,1
J018,17,5,40,3
J020,17,10,55,1
J022,17,5,43,3
J032,17,13,45,2
J015,18,5,45,1
J023,20,9,68,2
J010,24,6,60,2
J016,24,11,72,2
J008,27,13,65,1
J033,27,8,72,1
J024,29,7,60,1
J003,34,5,84,2
J006,34,16,72,2
J012,34,6,72,1
J037,34,3,65,2
J013,35,12,78,3
J031,35,3,53,3
J007,37,11,56,1
J026,37,15,83,1
J011,38,11,59,2
J029,38,5,75,2
J030,38,17,96,2
J001,40,6,55,2
J035,40,12,92,3
