rule,job_id,machine_id,arrival_time,start_time,finish_time,processing_time,due_date,priority,flow_time,lateness,is_late
EDD,J038,M04,1,1,7,6,38,2,6,0,False
EDD,J004,M01,2,2,5,3,18,1,3,0,False
EDD,J028,M03,7,7,14,7,32,2,7,0,False
EDD,J027,M01,8,8,26,18,39,1,18,0,False
EDD,J014,M02,12,12,17,5,27,1,5,0,False
EDD,J009,M04,13,13,26,13,40,1,13,0,False
EDD,J002,M02,15,17,27,10,41,1,12,0,False
EDD,J018,M03,17,17,22,5,40,3,5,0,False
EDD,J039,M03,15,22,26,4,42,3,11,0,False
EDD,J022,M01,17,26,31,5,43,3,14,0,False
EDD,J032,M03,17,26,39,13,45,2,22,0,False
EDD,J015,M04,18,26,31,5,45,1,13,0,False
EDD,J021,M02,14,27,31,4,46,2,17,0,False
EDD,J040,M01,5,31,36,5,49,1,31,0,False
EDD,J036,M02,12,31,38,7,50,1,26,0,False
EDD,J031,M04,35,35,38,3,53,3,3,0,False
EDD,J017,M01,10,36,50,14,54,1,40,0,False
EDD,J020,M02,17,38,48,10,55,1,31,0,False
EDD,J007,M03,37,39,50,11,56,1,13,0,False
EDD,J001,M04,40,40,46,6,55,2,6,0,False
EDD,J011,M04,38,46,57,11,59,2,19,0,False
EDD,J005,M02,14,48,51,3,60,1,37,0,False
EDD,J019,M01,15,50,58,8,60,2,43,0,False
EDD,J010,M03,24,50,56,6,60,2,32,0,False
EDD,J024,M02,29,51,58,7,60,1,29,0,False
EDD,J034,M03,16,56,64,8,64,1,48,0,False
EDD,J008,M04,27,57,70,13,65,1,43,5,True
EDD,J037,M01,34,58,61,3,65,2,27,0,False
EDD,J023,M02,20,58,67,9,68,2,47,0,False
EDD,J025,M01,15,61,72,11,71,2,57,1,True
EDD,J016,M03,24,64,75,11,72,2,51,3,True
EDD,J033,M02,27,67,75,8,72,1,48,3,True
EDD,J006,M04,34,70,86,16,72,2,52,14,True
EDD,J012,M01,34,72,78,6,72,1,44,6,True
EDD,J029,M02,38,75,80,5,75,2,42,5,True
EDD,J013,M03,35,75,87,12,78,3,52,9,True
EDD,J026,M01,37,78,93,15,83,1,56,10,True
EDD,J003,M02,34,80,85,5,84,2,51,1,True
EDD,J035,M02,40,85,97,12,92,3,57,5,True
EDD,J030,M04,38,86,103,17,96,2,65,7,True
