rule,job_id,machine_id,arrival_time,start_time,finish_time,processing_time,due_date,priority,flow_time,lateness,is_late
PRIORITY,J039,M02,15,15,19,4,42,3,4,0,False
PRIORITY,J018,M01,17,17,22,5,40,3,5,0,False
PRIORITY,J022,M03,17,17,22,5,43,3,5,0,False
PRIORITY,J028,M03,7,22,29,7,32,2,22,0,False
PRIORITY,J038,M03,1,29,35,6,38,2,34,0,False
PRIORITY,J013,M02,35,35,47,12,78,3,12,0,False
PRIORITY,J032,M03,17,35,48,13,45,2,31,3,True
PRIORITY,J031,M04,35,35,38,3,53,3,3,0,False
PRIORITY,J021,M04,14,38,42,4,46,2,28,0,False
PRIORITY,J035,M01,40,40,52,12,92,3,12,0,False
PRIORITY,J001,M04,40,42,48,6,55,2,8,0,False
PRIORITY,J011,M02,38,47,58,11,59,2,20,0,False
PRIORITY,J019,M03,15,48,56,8,60,2,41,0,False
PRIORITY,J010,M04,24,48,54,6,60,2,30,0,False
PRIORITY,J037,M01,34,52,55,3,65,2,21,0,False
PRIORITY,J023,M04,20,54,63,9,68,2,43,0,False
PRIORITY,J025,M01,15,55,66,11,71,2,51,0,False
PRIORITY,J016,M03,24,56,67,11,72,2,43,0,False
PRIORITY,J006,M02,34,58,74,16,72,2,40,2,True
PRIORITY,J029,M04,38,63,68,5,75,2,30,0,False
PRIORITY,J003,M01,34,66,71,5,84,2,37,0,False
PRIORITY,J030,M03,38,67,84,17,96,2,46,0,False
PRIORITY,J004,M04,2,68,71,3,18,1,69,53,True
PRIORITY,J014,M01,12,71,76,5,27,1,64,49,True
PRIORITY,J027,M04,8,71,89,18,39,1,81,50,True
PRIORITY,J009,M02,13,74,87,13,40,1,74,47,True
PRIORITY,J002,M01,15,76,86,10,41,1,71,45,True
PRIORITY,J015,M03,18,84,89,5,45,1,71,44,True
PRIORITY,J040,M01,5,86,91,5,49,1,86,42,True
PRIORITY,J036,M02,12,87,94,7,50,1,82,44,True
PRIORITY,J017,M03,10,89,103,14,54,1,93,49,True
PRIORITY,J020,M04,17,89,99,10,55,1,82,44,True
PRIORITY,J007,M01,37,91,102,11,56,1,65,46,True
PRIORITY,J005,M02,14,94,97,3,60,1,83,37,True
PRIORITY,J024,M02,29,97,104,7,60,1,75,44,True
PRIORITY,J034,M04,16,99,107,8,64,1,91,43,True
PRIORITY,J008,M01,27,102,115,13,65,1,88,50,True
PRIORITY,J033,M03,27,103,111,8,72,1,84,39,True
PRIORITY,J012,M02,34,104,110,6,72,1,76,38,True
PRIORITY,J026,M04,37,107,122,15,83,1,85,39,True
