rule,job_id,machine_id,arrival_time,start_time,finish_time,processing_time,due_date,priority,flow_time,lateness,is_late
SPT,J004,M01,2,2,5,3,18,1,3,0,False
SPT,J021,M01,14,14,18,4,46,2,4,0,False
SPT,J005,M02,14,14,17,3,60,1,3,0,False
SPT,J039,M02,15,17,21,4,42,3,6,0,False
SPT,J040,M01,5,18,23,5,49,1,18,0,False
SPT,J014,M02,12,21,26,5,27,1,14,0,False
SPT,J018,M01,17,23,28,5,40,3,11,0,False
SPT,J022,M02,17,26,31,5,43,3,14,0,False
SPT,J015,M01,18,28,33,5,45,1,15,0,False
SPT,J003,M02,34,34,39,5,84,2,5,0,False
SPT,J037,M03,34,34,37,3,65,2,3,0,False
SPT,J031,M04,35,35,38,3,53,3,3,0,False
SPT,J038,M03,1,37,43,6,38,2,42,5,True
SPT,J029,M01,38,38,43,5,75,2,5,0,False
SPT,J010,M04,24,38,44,6,60,2,20,0,False
SPT,J012,M02,34,39,45,6,72,1,11,0,False
SPT,J001,M01,40,43,49,6,55,2,9,0,False
SPT,J028,M03,7,43,50,7,32,2,43,18,True
SPT,J036,M04,12,44,51,7,50,1,39,1,True
SPT,J024,M02,29,45,52,7,60,1,23,0,False
SPT,J019,M01,15,49,57,8,60,2,42,0,False
SPT,J034,M03,16,50,58,8,64,1,42,0,False
SPT,J033,M04,27,51,59,8,72,1,32,0,False
SPT,J023,M02,20,52,61,9,68,2,41,0,False
SPT,J002,M01,15,57,67,10,41,1,52,26,True
SPT,J020,M03,17,58,68,10,55,1,51,13,True
SPT,J025,M04,15,59,70,11,71,2,55,0,False
SPT,J016,M02,24,61,72,11,72,2,48,0,False
SPT,J007,M01,37,67,78,11,56,1,41,22,True
SPT,J011,M03,38,68,79,11,59,2,41,20,True
SPT,J013,M04,35,70,82,12,78,3,47,4,True
SPT,J035,M02,40,72,84,12,92,3,44,0,False
SPT,J009,M01,13,78,91,13,40,1,78,51,True
SPT,J032,M03,17,79,92,13,45,2,75,47,True
SPT,J008,M04,27,82,95,13,65,1,68,30,True
SPT,J017,M02,10,84,98,14,54,1,88,44,True
SPT,J026,M01,37,91,106,15,83,1,69,23,True
SPT,J006,M03,34,92,108,16,72,2,74,36,True
SPT,J030,M04,38,95,112,17,96,2,74,16,True
SPT,J027,M02,8,98,116,18,39,1,108,77,True
